source_id,dataset,publisher,url,published_or_reference_date,accessed_on,notes
1,Câmeras por subprefeitura — setembro de 2025,Metrópoles,https://www.metropoles.com/sao-paulo/bairros-smart-sampa-em-sp,2025-10-15,2026-08-08,Dados obtidos pelo jornal via LAI; lista completa das 32 subprefeituras; referência até setembro de 2025.
2,População por subprefeitura — Censo 2022,Prefeitura de São Paulo / SMUL-GEOINFO / IBGE,https://prefeitura.sp.gov.br/web/subprefeituras/w/munic%C3%ADpio-de-s%C3%A3o-paulo-subprefeituras-e-distritos-municipais-1,2025-11-03,2026-08-08,Tabela municipal com população de 1950 a 2022; usados os agregados de 2022 por subprefeitura.
3,"Smart Sampa — 31,3 mil câmeras e distribuição regional",Prefeitura de São Paulo,https://prefeitura.sp.gov.br/w/programa-smart-sampa-ultrapassa-marca-de-31-3-mil-c%C3%A2meras-instaladas-na-cidade-de-s%C3%A3o-paulo,2025-06-06,2026-08-08,Distribuição reportada: Centro 7.330; Leste 7.931; Sul 6.741; Oeste 6.715; Norte 2.606.
4,Smart Sampa — 40 mil câmeras e distribuição regional,Prefeitura de São Paulo,https://prefeitura.sp.gov.br/w/programa-smart-sampa-atinge-meta-para-2025-e-j%C3%A1-soma-40-mil-c%C3%A2meras-integradas-ao-maior-sistema-de-monitoramento-da-am%C3%A9rica-latina,2025-09,2026-08-08,40 mil câmeras; 20 mil próprias e 20 mil privadas; distribuição regional e marcos de julho/novembro de 2024.
5,Smart Sampa — 50 mil câmeras e distribuição regional,Prefeitura de São Paulo / SMSU,https://smartsampa.prefeitura.sp.gov.br/web/seguranca_urbana/w/smart-sampa-chega-a-50-mil-c%C3%A2meras-e-j%C3%A1-supera-em-25-o-previsto-no-programa-de-metas,2026-04-01,2026-08-08,50 mil câmeras; 20 mil próprias e 30 mil privadas; distribuição regional.
6,Monitoramento Smart Sampa — Mooca,Participa+,https://participemais.prefeitura.sp.gov.br/budgets/4/investments/8675,2025-01-20,2026-08-08,Monitoramentos informam 588 câmeras em setembro/2024 e 803 no fim de 2024 na Subprefeitura da Mooca.
7,Monitoramento Smart Sampa — Itaim Paulista,Participa+,https://participemais.prefeitura.sp.gov.br/budgets/5/investments/9579,2025-12-10,2026-08-08,"Série parcial: abr, jun, ago, out e nov/2025. O texto esclarece que integrações privadas podem variar."
8,Bases de dados — Celulares subtraídos,Secretaria da Segurança Pública do Estado de São Paulo,https://www.ssp.sp.gov.br/estatistica/consultas,,2026-08-08,Portal disponibiliza bases anuais de celulares subtraídos de 2017 a 2026.
9,Plano de Dados Abertos da SSP,Secretaria da Segurança Pública do Estado de São Paulo,https://www.ssp.sp.gov.br/assets/download/Dados_Abertos.pdf,2026,2026-08-08,Confirma disponibilização das bases em planilha XLSX.
10,Área por subprefeitura — 2025,Prefeitura de São Paulo / SMUL-GEOINFO,https://prefeitura.sp.gov.br/documents/d/licenciamento/2025_regioes_subprefeituras_e_distritos_municipais-1-,2025,2026-08-21,"Áreas oficiais em km²; base de cálculo: Mapa Digital da Cidade (MDC), UTM/SIRGAS2000."
